Query,PubChem
S-Adenosylmethionine,16757548
L-Alanine,5950
Beta-Alanine,239
L-Glutamine,5961
Fructose,439709
glucose,5793
Fructose 6-phosphate,69507
glucose 6-phosphate,5958
Trehalose,7427
O-Acetyl-L-Serine hyd,NA
Galacturonic acid,84740
Dihydrouracil,649
Glutaric acid,743
Nicotinic acid,938
Linoleic acid,5280450
Gamma-Aminobutyric acid,119
methoxyamine,NA
Oleic acid,445639
Stearic acid,5281
Glucopyranose,NA
L-Phenylalanine,6140
L-Asparagine,6267
L-Lysine,5962
L-Serine,5951
L-Threonine,6288
L-Isoleucine,6306
L-Methionine,6137
L-Leucine,6106
L-Proline,145742
L-Valine,6287
Glycine,750
L-Aspartic acid,5960
L-Tyrosine,6057
Pyroglutamic acid,7405
Raffinose,10542
Erythritol,222285
myo-Inositol,NA
Malic acid,525
Fumaric acid,444972
Citric acid,311
Oxalic acid,971
Glyceric acid,439194
Succinic acid,1110
Threonic acid,151152
Dehydroascorbic acid dimer,NA
Allantoin,204
Ethanolamine,700
L-Lactic acid,107689
Spermidine,1102
Stigmasterol,5280794
Cholesterol,11025495
Clionasterol,457801
Putrescine,1045
Salicylic acid,338
Glucopyranoside,NA
D-Glucose,5793
Campesterol,5283637
Glycerol 3-phosphate,439162
Beta-Glycerophosphoric acid,2526
Benzoic acid,243
Urea,1176
D-Threitol,169019
Myristic acid,11005
Palmitic acid,985
Tetracosanoic acid,11197
Gluconic acid,10690
Glycolic acid,757
D-Xylose,135191
L-Arabinose,439195
Galactonic acid,128869
Shikimic acid,8742
D-Mannose,18950
Galactinol,439451
Nicotianamine,NA
Phosphoric acid,1004
Pipecolic acid,849
Sucrose,5988
Mannose-6-phosphate,439198
myo-inositol-1-phosphate,NA
L-Glutamic acid,33032
